date,I_actual,R_actual
2020-01-20,4,0
2020-01-21,3,2
2020-01-22,3,2
2020-01-23,8,2
2020-01-24,15,2
2020-01-25,23,3
2020-01-26,36,3
2020-01-27,49,4
2020-01-28,72,4
2020-01-29,95,4
2020-01-30,119,4
2020-01-31,179,4
2020-02-01,204,5
2020-02-02,234,5
2020-02-03,272,10
2020-02-04,289,13
2020-02-05,311,16
2020-02-06,325,22
2020-02-07,333,31
2020-02-08,338,39
2020-02-09,335,46
2020-02-10,332,56
2020-02-11,333,66
2020-02-12,322,82
2020-02-13,319,94
2020-02-14,315,104
2020-02-15,312,115
2020-02-16,295,131
2020-02-17,275,152
2020-02-18,264,163
2020-02-19,245,182
2020-02-20,228,199
2020-02-21,206,222
2020-02-22,201,226
2020-02-23,190,237
2020-02-24,178,249
2020-02-25,165,262
2020-02-26,156,271
2020-02-27,146,281
2020-02-28,128,299
2020-02-29,119,308
2020-03-01,108,320
2020-03-02,96,332
2020-03-03,87,341
2020-03-04,78,350
2020-03-05,70,358
2020-03-06,68,361
2020-03-07,61,368
2020-03-08,56,373
2020-03-09,48,381
2020-03-10,48,381
2020-03-11,38,392
2020-03-12,38,392
2020-03-13,35,395
2020-03-14,36,395
2020-03-15,32,401
2020-03-16,32,401
2020-03-17,33,402
2020-03-18,34,403
2020-03-19,39,403
2020-03-20,37,409
2020-03-21,40,409
2020-03-22,40,409
2020-03-23,37,413
2020-03-24,37,414
2020-03-25,39,414
2020-03-26,40,414
2020-03-27,42,414
2020-03-28,43,414
2020-03-29,45,414
2020-03-30,46,414
2020-03-31,44,416
2020-04-01,45,416
2020-04-02,46,416
2020-04-03,47,416
2020-04-04,48,416
2020-04-05,49,416
2020-04-06,49,416
2020-04-07,50,416
2020-04-08,50,416
2020-04-09,50,416
2020-04-10,50,416
2020-04-11,50,416
2020-04-12,50,416
2020-04-13,52,416
2020-04-14,44,424
2020-04-15,44,424
